"user_id","perk_assigned"
"23557","Free Meal"
"94883","Free Cancellation"
"101486","Free Cancellation"
"101961","Exclusive Discount"
"106907","Free Bag"
"118043","Free Meal"
"120851","Free Bag"
"125845","Free Night"
"133058","Free Bag"
"149058","Free Meal"
"152583","Free Bag"
"153982","Free Cancellation"
"160754","Free Cancellation"
"164522","Free Bag"
"167852","Free Night"
"171470","Free Cancellation"
"174997","Free Cancellation"
"175032","Exclusive Discount"
"181157","Exclusive Discount"
"182191","Free Cancellation"
"187212","Exclusive Discount"
"189676","Free Cancellation"
"190866","Free Cancellation"
"195192","Free Night"
"204943","Exclusive Discount"
"204997","Free Cancellation"
"205044","Free Cancellation"
"206011","Free Meal"
"216796","Free Cancellation"
"217114","Free Night"
"217136","Free Cancellation"
"220725","Free Cancellation"
"224996","Free Cancellation"
"226367","Free Cancellation"
"228195","Free Cancellation"
"228872","Free Bag"
"229009","Free Cancellation"
"229108","Free Cancellation"
"229330","Free Night"
"232647","Free Cancellation"
"249521","Free Meal"
"252835","Free Meal"
"258451","Free Cancellation"
"264470","Free Bag"
"276512","Free Night"
"281952","Free Bag"
"283325","Free Night"
"290123","Free Cancellation"
"297546","Free Night"
"298253","Free Bag"
"299476","Free Night"
"306165","Free Night"
"306819","Free Meal"
"312488","Free Night"
"313724","Free Cancellation"
"316527","Free Meal"
"317688","Free Meal"
"322867","Free Night"
"324191","Free Night"
"328590","Free Night"
"330764","Free Cancellation"
"330893","Free Meal"
"331039","Free Night"
"334787","Free Night"
"337227","Free Night"
"338086","Free Night"
"340166","Free Meal"
"343928","Exclusive Discount"
"347778","Exclusive Discount"
"348817","Free Cancellation"
"348863","Free Meal"
"349132","Free Night"
"350648","Free Cancellation"
"353271","Free Night"
"353694","Free Meal"
"354050","Free Cancellation"
"354260","Free Cancellation"
"354311","Free Bag"
"354950","Free Bag"
"356046","Exclusive Discount"
"357737","Free Meal"
"359072","Free Cancellation"
"359080","Free Bag"
"359653","Exclusive Discount"
"361459","Free Night"
"361759","Exclusive Discount"
"363535","Exclusive Discount"
"365825","Free Cancellation"
"371201","Free Bag"
"372970","Free Night"
"373489","Free Bag"
"374331","Free Cancellation"
"374340","Free Bag"
"374341","Free Cancellation"
"375160","Free Night"
"375729","Exclusive Discount"
"375751","Free Cancellation"
"376159","Free Cancellation"
"377069","Free Cancellation"
"377411","Free Night"
"378565","Free Meal"
"379543","Free Night"
"380434","Free Night"
"380436","Free Night"
"380757","Free Bag"
"380874","Free Night"
"380949","Free Cancellation"
"381259","Free Meal"
"381465","Free Cancellation"
"382181","Exclusive Discount"
"382384","Free Meal"
"382533","Free Night"
"385689","Free Meal"
"386255","Free Meal"
"386469","Exclusive Discount"
"386914","Free Bag"
"387282","Free Meal"
"387783","Exclusive Discount"
"388328","Free Meal"
"388767","Free Bag"
"388947","Exclusive Discount"
"389434","Exclusive Discount"
"389662","Exclusive Discount"
"389759","Exclusive Discount"
"390811","Free Bag"
"392453","Free Bag"
"395202","Exclusive Discount"
"395981","Exclusive Discount"
"396552","Free Cancellation"
"399137","Free Cancellation"
"399218","Free Meal"
"399799","Free Bag"
"400275","Exclusive Discount"
"400582","Free Night"
"400899","Free Cancellation"
"401245","Exclusive Discount"
"402332","Exclusive Discount"
"402978","Exclusive Discount"
"403881","Exclusive Discount"
"404879","Free Cancellation"
"405305","Free Meal"
"406210","Free Bag"
"407118","Free Night"
"407250","Exclusive Discount"
"407275","Exclusive Discount"
"407434","Free Meal"
"407642","Exclusive Discount"
"408551","Free Meal"
"409073","Free Cancellation"
"411179","Exclusive Discount"
"411701","Free Night"
"413128","Exclusive Discount"
"413340","Free Meal"
"413418","Free Bag"
"413658","Free Cancellation"
"414128","Free Cancellation"
"415282","Free Night"
"415381","Free Night"
"415581","Free Bag"
"416319","Free Night"
"416580","Free Cancellation"
"417679","Free Night"
"418329","Free Bag"
"418488","Free Night"
"418692","Free Bag"
"420648","Free Bag"
"420669","Free Meal"
"421247","Free Night"
"421515","Exclusive Discount"
"421666","Free Cancellation"
"421700","Exclusive Discount"
"421870","Free Night"
"422066","Free Meal"
"422668","Free Night"
"423042","Free Meal"
"423413","Exclusive Discount"
"424553","Free Night"
"425632","Free Cancellation"
"425653","Free Meal"
"425953","Exclusive Discount"
"425966","Free Bag"
"426478","Free Cancellation"
"427426","Exclusive Discount"
"427506","Free Cancellation"
"428056","Exclusive Discount"
"428552","Exclusive Discount"
"428858","Free Bag"
"429345","Free Meal"
"429375","Free Cancellation"
"430722","Free Cancellation"
"431144","Free Night"
"431337","Free Cancellation"
"431602","Free Cancellation"
"431746","Free Night"
"431899","Free Cancellation"
"431912","Free Night"
"432333","Free Night"
"432637","Free Meal"
"432941","Free Bag"
"433080","Free Night"
"433339","Free Meal"
"433905","Free Night"
"434238","Free Meal"
"434623","Free Night"
"435231","Free Night"
"435596","Exclusive Discount"
"435669","Free Meal"
"435837","Exclusive Discount"
"435882","Free Cancellation"
"436320","Free Meal"
"436894","Exclusive Discount"
"437069","Free Night"
"437162","Free Cancellation"
